Date_complete,ult_mean_speed,ult_mean_dir,ult_SD_speed,ult_SD_dir,ult_updrift
2013-01-08 12:50:00,3.310565,323.5902,2.280204,44.435436,NULL
2013-01-08 13:00:00,5.563988,326.93192,2.244245,25.913544,NULL
2013-01-08 13:10:00,3.188857,318.09582,1.793765,40.970392,NULL
2013-01-08 13:20:00,5.247676,301.13552000000004,2.009265,27.697418,NULL
2013-01-08 13:30:00,4.198507,298.32576,2.237234,35.559092,NULL
2013-01-08 13:40:00,4.837326,302.65036,2.363041,31.50924,NULL
2013-01-08 13:50:00,3.530377,303.27758,2.218505,45.89462,NULL
2013-01-08 14:00:00,3.593757,295.8172,2.248623,41.1,NULL
2013-01-08 14:10:00,2.576626,313.35636,2.014297,54.09552,NULL
2013-01-08 14:20:00,4.933483,323.49122,2.737205,35.336508,NULL
2013-01-08 14:30:00,4.935552,335.195,1.929594,26.267472,NULL
2013-01-08 14:40:00,4.775485,334.8113,1.868034,28.783086,NULL
2013-01-08 14:50:00,4.406388,326.58118,1.881742,23.817218,NULL
2013-01-08 15:00:00,7.498825,324.622,4.804497,28.7371,NULL
2013-01-08 15:10:00,9.17905,322.38508,5.149936,27.424994,NULL
2013-01-08 15:20:00,4.282919,318.15192,2.152399,32.078648,NULL
2013-01-08 15:30:00,4.330463,335.80084,1.587568,22.866964,NULL
2013-01-08 15:40:00,3.335107,318.2724,1.487039,26.857164,NULL
2013-01-08 15:50:00,3.618554,302.32122,1.862829,34.108064,NULL
2013-01-08 16:00:00,4.216621,296.80737999999997,2.078662,27.035616,NULL
2013-01-08 16:10:00,4.555129,293.57346,1.949532,27.525068,NULL
2013-01-08 16:20:00,3.131362,297.14338,1.402106,28.577684,NULL
2013-01-08 16:30:00,3.16163,298.02364,1.533019,29.35243,NULL
2013-01-08 16:40:00,4.241758,292.7952,1.767188,28.706726,NULL
2013-01-08 16:50:00,3.310642,302.45594,1.497796,29.120746,NULL
2013-01-08 17:00:00,3.16484,303.68424,1.718381,31.733742,NULL
2013-01-08 17:10:00,3.753331,310.0217,1.843357,28.500336,NULL
2013-01-08 17:20:00,3.684986,308.7602,1.738856,28.497484,NULL
2013-01-08 17:30:00,3.693736,310.4722,1.765057,31.606112,NULL
2013-01-08 17:40:00,4.594424,315.61982,2.246117,30.439052,NULL
2013-01-08 17:50:00,5.507036,319.76218,2.622018,29.375324,NULL
